J-S distance,KS test,Survival curves distance,Detection XGB,NNDR,K-map score,generator
0.005027096911810461,0.9539940129194896,0.008022245788081106,0.9139342937227038,0.08646903592798931,2.0,HI-VAE_weibull
0.0070970817126696974,0.9478493776587363,0.021629678474549677,0.9182878560719641,0.10921819134892957,3.0,HI-VAE_weibull
0.0061594696131843756,0.9527335749172838,0.010563210248605459,0.9033631445146991,0.09206759797367195,5.0,HI-VAE_weibull
0.007374331975788454,0.9443831731526706,0.02736012861712063,0.9236855485300828,0.1082715325319187,5.0,HI-VAE_weibull
0.006754574284340385,0.9483220419095637,0.021324020469973205,0.9158812332963953,0.1486001848719893,3.0,HI-VAE_weibull
0.005980696971998681,0.9543091224200411,0.011881547624690545,0.9053374617039307,0.1076555589143722,2.0,HI-VAE_weibull
0.005832695800806553,0.9535213486686623,0.029001501375478713,0.9221454924711556,0.10446480336891542,3.0,HI-VAE_weibull
0.005382710322463725,0.9566724436741768,0.00828098212479198,0.9212047454533604,0.10841654250997616,6.0,HI-VAE_weibull
0.005158311016985047,0.9552544509216951,0.012316244450088347,0.9218045759728831,0.12885860012160885,2.0,HI-VAE_weibull
0.005882690655299641,0.9530486844178352,0.015536668577664371,0.9281694804771528,0.10316553782181358,4.0,HI-VAE_weibull
0.005962504208819394,0.951473136915078,0.023416109910190934,0.9114670490841537,0.09577399588726443,2.0,HI-VAE_weibull
0.005954553078150171,0.9519458011659051,0.008194250500212956,0.9219813571475133,0.11085683272895847,5.0,HI-VAE_weibull
0.005848569129398336,0.9497400346620449,0.014608315774762567,0.9189742520044326,0.07589958006017153,1.0,HI-VAE_weibull
0.005789185688232743,0.9557271151725224,0.008273190095323972,0.9227780457597289,0.10408088484771247,3.0,HI-VAE_weibull
0.005419848273178241,0.9547817866708681,0.009568824564121281,0.9275862068965516,0.09188763031983715,3.0,HI-VAE_weibull
0.006153431092861699,0.9522609106664567,0.006125501235808807,0.923842383156248,0.09218184978111589,2.0,HI-VAE_weibull
0.006303420374971554,0.9510004726642509,0.013589636126878718,0.928061012971775,0.09748757302511536,5.0,HI-VAE_weibull
0.00619720831840537,0.9538364581692139,0.010662528678102754,0.9120483671207873,0.11082714715881868,3.0,HI-VAE_weibull
0.006005836978250683,0.9546242319205924,0.008919547219735454,0.9269211915781239,0.12393587979240145,5.0,HI-VAE_weibull
0.006796882476931127,0.9533637939183867,0.03656263058766762,0.9343385698455119,0.08896438983853819,3.0,HI-VAE_weibull
0.006049490596747613,0.9502126989128722,0.009431895961864533,0.9097790235317124,0.097545616081644,1.0,HI-VAE_weibull
0.006162760288668634,0.953678903418938,0.018420936563149932,0.914308454468418,0.11770438898182765,3.0,HI-VAE_weibull
0.00604559356234163,0.9524184654167324,0.02170818566942496,0.9196495665210873,0.09729274702205006,1.0,HI-VAE_weibull
0.005571740373079176,0.952576020167008,0.011508178654335587,0.9334242878560721,0.08746063626625157,4.0,HI-VAE_weibull
0.006167437927672007,0.9522609106664567,0.009137264266321835,0.9174302848575712,0.10880373972457395,6.0,HI-VAE_weibull
0.005661488093350078,0.9557271151725225,0.014698272463182468,0.9077974056450036,0.10155920941855363,1.0,HI-VAE_weibull
0.005181868647042468,0.9604537576807942,0.02274551832820662,0.9183340069095886,0.08877296832413271,2.0,HI-VAE_weibull
0.006454774539088646,0.9514731369150781,0.020857996250813905,0.922485235643048,0.12041048283672824,1.0,HI-VAE_weibull
0.0054100053109840986,0.9566724436741768,0.009280395396972249,0.9106736197118833,0.1472846872364988,3.0,HI-VAE_weibull
0.005859997305601836,0.9558846699227982,0.005958989073990817,0.9177579036568673,0.1306144938958769,4.0,HI-VAE_weibull
